year,region,npg,birth_rate,death_rate,gdw,urbanization
1990,Yamalo-Nenets Autonomous Okrug,13.1,16.4,3.3,53.35,78.97
1990,Yaroslavl Oblast,-1.9,11.3,13.2,78.51,81.6
1991,Republic of Adygea,0.0,13.5,13.5,85.42,52.51
1991,Altai Krai,0.4,11.7,11.3,79.95,58.08
1991,Amur Oblast,5.3,14.3,9.0,70.26,68.53
1991,Arkhangelsk Oblast,2.0,11.9,9.9,73.65,73.81
1991,Astrakhan Oblast,2.8,13.9,11.1,77.99,68.2
1991,Republic of Bashkortostan,4.7,14.7,10.0,81.85,64.41
1991,Belgorod Oblast,-1.8,11.5,13.3,84.43,63.7
1991,Bryansk Oblast,-1.1,12.0,13.1,87.96,68.01
1991,Republic of Buryatia,6.7,16.0,9.3,79.65,60.44
1991,Vladimir Oblast,-2.2,10.3,12.5,78.86,79.47
1991,Volgograd Oblast,0.3,11.9,11.6,78.18,75.8
1991,Vologda Oblast,-0.1,11.9,12.0,82.95,65.9
1991,Voronezh Oblast,-3.7,10.5,14.2,84.82,61.22
1991,Republic of Dagestan,18.6,24.9,6.3,95.05,43.97
1991,Jewish Autonomous Oblast,6.2,16.0,9.8,75.27,64.95
1991,Zabaykalsky Krai,6.7,16.0,9.3,78.21,64.19
1991,Ivanovo Oblast,-4.2,10.2,14.4,82.63,82.22
1991,Republic of Ingushetia,,,,96.32,27.8
1991,Irkutsk Oblast,4.4,14.7,10.3,73.02,80.44
1991,Kabardino-Balkar Republic,10.1,19.0,8.9,80.59,60.97
1991,Kaliningrad Oblast,1.8,11.7,9.9,68.7,78.94
1991,Republic of Kalmykia,11.1,19.5,8.4,78.73,45.98
1991,Kaluga Oblast,-1.8,10.6,12.4,78.18,70.07
1991,Kamchatka Krai,5.2,11.3,6.1,49.64,81.47
1991,Karachay-Cherkess Republic,8.0,16.7,8.7,82.75,49.12
1991,Republic of Karelia,0.9,11.4,10.5,73.21,81.83
1991,Kemerovo Oblast,0.2,11.8,11.6,76.91,87.06
1991,Kirov Oblast,-1.0,11.5,12.5,83.41,69.71
1991,Kostroma Oblast,-2.6,11.3,13.9,84.81,69.04
1991,Krasnodar Krai,-1.2,12.5,13.7,83.18,54.27
1991,Krasnoyarsk Krai,3.1,12.5,9.4,69.7,73.91
1991,Republic of Crimea,,,,,
1991,Kurgan Oblast,1.4,13.2,11.8,82.12,55.08
1991,Kursk Oblast,-4.2,10.6,14.8,86.21,58.91
1991,Leningrad Oblast,-2.8,9.8,12.6,83.26,66.09
1991,Lipetsk Oblast,-2.4,10.8,13.2,79.73,63.05
1991,Magadan Oblast,6.3,12.1,5.8,49.67,84.62
1991,Mari El Republic,3.7,14.0,10.3,81.31,62.06
1991,Republic of Mordovia,0.5,12.0,11.5,80.98,57.24
1991,Moscow,-3.7,9.1,12.8,70.74,100.0
1991,Moscow Oblast,-3.5,8.9,12.4,72.06,79.68
1991,Murmansk Oblast,3.8,9.8,6.0,54.98,91.58
1991,Nenets Autonomous Okrug,9.3,16.7,7.4,63.6,63.83
1991,Nizhny Novgorod Oblast,-2.8,9.9,12.7,80.56,77.12
1991,Novgorod Oblast,-3.7,10.9,14.6,83.71,69.89
1991,Novosibirsk Oblast,1.2,12.1,10.9,75.87,74.58
1991,Omsk Oblast,3.9,13.8,9.9,78.25,68.1
1991,Orenburg Oblast,3.5,13.9,10.4,80.05,64.67
1991,Oryol Oblast,-2.4,11.0,13.4,80.37,62.41
1991,Penza Oblast,-0.9,10.9,11.8,79.48,63.38
1991,Perm Krai,0.9,12.3,11.4,77.29,77.16
1991,Primorsky Krai,3.2,12.9,9.7,63.68,77.23
1991,Pskov Oblast,-4.7,10.7,15.4,85.72,63.48
1991,Altai Republic,7.7,18.2,10.5,89.98,27.07
1991,Komi Republic,4.8,12.7,7.9,62.35,76.02
1991,Tuva Republic,14.4,23.9,9.5,83.85,47.38
1991,Rostov Oblast,-1.0,11.7,12.7,77.43,71.14
1991,Ryazan Oblast,-3.6,10.3,13.9,81.46,65.85
1991,Samara Oblast,-0.2,11.0,11.2,72.76,80.87
1991,Saint Petersburg,-3.3,9.3,12.6,68.94,100.0
1991,Saratov Oblast,0.2,12.0,11.8,75.25,74.64
1991,Sakhalin Oblast,3.5,12.2,8.7,59.47,84.94
1991,Sverdlovsk Oblast,-0.7,10.7,11.4,76.28,87.61
1991,Sevastopol,,,,,
1991,Republic of North Ossetia-Alania,6.3,16.2,9.9,80.61,69.14
1991,Smolensk Oblast,-3.0,10.7,13.7,83.26,68.46
1991,Stavropol Krai,2.1,13.8,11.7,81.78,54.01
1991,Tambov Oblast,-4.6,10.6,15.2,86.09,56.52
1991,Republic of Tatarstan,3.5,13.6,10.1,78.33,73.64
1991,Tver Oblast,-4.7,10.2,14.9,86.82,71.34
1991,Tomsk Oblast,2.0,10.9,8.9,71.02,70.72
1991,Tula Oblast,-5.4,9.0,14.4,82.69,81.42
1991,Tyumen Oblast,7.2,14.0,6.8,73.48,77.48
1991,Udmurt Republic,3.8,13.7,9.9,77.93,70.29
1991,Ulyanovsk Oblast,1.2,12.5,11.3,77.21,72.03
1991,Khabarovsk Krai,3.8,13.1,9.3,64.05,80.28
1991,Republic of Khakassia,3.4,14.2,10.8,78.51,72.57
1991,Khanty–Mansi Autonomous Okrug – Yugra,10.3,14.9,4.6,58.89,91.9
1991,Chelyabinsk Oblast,1.2,11.7,10.5,76.9,82.77
1991,Chechen Republic,14.6,22.6,8.0,87.18,47.76
1991,Chuvash Republic,4.2,14.2,10.0,82.51,58.94
1991,Chukotka Autonomous Okrug,8.4,12.5,4.1,47.76,72.43
1991,Sakha (Yakutia) Republic,11.0,17.8,6.8,64.54,66.78
1991,Yamalo-Nenets Autonomous Okrug,11.3,14.7,3.4,53.22,82.69
1991,Yaroslavl Oblast,-3.7,9.7,13.4,78.79,81.72
1992,Republic of Adygea,-1.5,12.0,13.5,85.46,52.49
1992,Altai Krai,-1.4,10.4,11.8,79.55,55.21
1992,Amur Oblast,2.3,12.4,10.1,70.73,66.94
1992,Arkhangelsk Oblast,-1.3,10.4,11.7,73.73,73.28
1992,Astrakhan Oblast,0.9,12.1,11.2,78.35,67.6
1992,Republic of Bashkortostan,2.4,13.3,10.9,83.0,64.38
